Month,happy,sad,depressed,stressed,good,bad,tired,hurt,important,drunk,afraid
Jan,0.00932473528011,0.00851866779028,0.00357234455721,0.00214340673433,0.0385996409336,0.0255376836551,0.00637526105595,0.00287619536145,0.0036639431356,0.000293115450848,0.00115414208771
Feb,0.00901318283283,0.0108663606115,0.0034115318199,0.00197953080908,0.0380322621404,0.0294823737523,0.00766541717559,0.00328517878954,0.00311670808238,8.42353535779e-05,0.00134776565725
Mar,0.00888248709639,0.00700196054895,0.00252070579762,0.00196054895371,0.0392109790741,0.0293682231025,0.0053214900172,0.00308086264154,0.0026007282039,0.000360100828232,0.00100028007842
Apr,0.010101010101,0.00890019071837,0.0034965034965,0.00218972946246,0.0383909020273,0.0286783923148,0.00625132443314,0.00296673023946,0.00377904923359,0.000176591085682,0.00088295542841
May,0.00948709353,0.00992289641301,0.0040898424405,0.0022460610124,0.0403620516259,0.0250419041234,0.00697284612806,0.00308414347972,0.00368756285619,0.000469326181696,0.00110626885686
Jun,0.00913705583756,0.0106423945388,0.0029056537721,0.0016453702083,0.0446350428846,0.0271661123753,0.0064414493261,0.00231051986697,0.00371083493786,0.000385086644495,0.000945212672851
Jul,0.00865405681735,0.00971299203973,0.00365150076682,0.00200832542175,0.04180968378,0.0245746001607,0.00682830643394,0.0025195355291,0.00317680566713,0.000365150076682,0.00098590520704
Aug,0.00949039264829,0.0111612364244,0.00320802005013,0.0018045112782,0.0457811194653,0.0237259816207,0.00778613199666,0.00270676691729,0.003776106934,0.000133667502089,0.00106934001671
Sept,0.00913309819937,0.00835344347503,0.00259884908112,0.00200482643401,0.0417300909597,0.021793205866,0.00768516799703,0.00330425097457,0.00330425097457,0.000222758492668,0.001002413217
Oct,0,0,0,0,0,0,0,0,0,0,0
Nov,0.00915410558194,0.00894762199738,0.00230573336086,0.0026154587377,0.0408837497419,0.0227476082318,0.006573060775,0.00278752839149,0.00354463486819,0.000378553238351,0.00103241792278
